specimen_number,long_n25k,lat_n25k,replicate,elev_m_n
JEPS94183,-122.379111682378,39.2966587498065,rep5,193.24
JROH5546,-121.998117164403,37.284769850442,rep5,84.23
LOB115754,-116.700831514327,33.9114641866517,rep5,419.63
LOB115763,-117.563971495567,33.7200964700595,rep5,1050.81
LOB115764,-117.511797115579,33.6614809415865,rep5,698.83
LOB115765,-117.47808543268,33.619744397636,rep5,857.3
OBI106017,-117.31939,34.036401862445,rep5,313.04
OBI106019,-120.582210160821,35.0884952104242,rep5,69.84
OBI106022,-119.984884132614,35.4859926354768,rep5,760.74
OBI106023,-119.886171229391,34.9245715031516,rep5,1359.82
OBI106025,-120.290340927096,35.45417196356,rep5,439.45
OBI106026,-120.451114304415,35.0713701415294,rep5,384.28
OBI106031,-120.443687308379,34.7529539492116,rep5,168.32
OBI106032,-120.70084028682,35.3456230314236,rep5,212.16
OBI106034,-122.752491102557,38.1933351062386,rep5,245.9
OBI106036,-123.731497708191,38.7500608925549,rep5,-1000000
OBI106039,-120.376337113175,35.4344325654994,rep5,526.59
OBI106041,-121.101148860299,35.8385179950881,rep5,438.76
OBI106042,-120.626999411314,35.1129671592154,rep5,4.21
OBI106043,-121.04529912452,35.8274105026544,rep5,419.83
OBI106044,-119.732973379807,34.3864904093502,rep5,0
OBI106047,-120.395836830173,35.2205736470993,rep5,518.81
OBI106053,-120.980952685491,35.5675507798384,rep5,207.42
OBI106058,-116.492328108215,32.5046770707087,rep5,-1000000
OBI106060,-119.745671772176,34.3640318733189,rep5,0
OBI106061,-120.588119427537,35.4130143155033,rep5,310.96
OBI106063,-120.354507234015,35.4694685501813,rep5,547.33
PGM1097,-121.021483072772,36.089134701261,rep5,148.63
POM126452,-116.609377626393,33.0125784666798,rep5,1400.47
POM126470,-117.56727387897,34.0213071757974,rep5,244.42
POM128992,-117.012219943839,34.1176439378294,rep5,1387.49
POM13005,-116.746801370049,33.484558817257,rep5,1251.54
POM155815,-117.291451953017,33.3190404554239,rep5,86.75
POM202997,-120.621563724522,35.3658376220536,rep5,521.85
POM210106,-116.499650379831,33.19051241009,rep5,1218.13
POM226856,-122.098401597076,37.4296836873383,rep5,2.22
POM229166,-117.371173615592,34.3495982240772,rep5,1109.56
POM258226,-117.048266258876,33.6381546127262,rep5,604.35
POM263485,-122.453786967151,38.6628711228376,rep5,239.93
POM289745,-122.217400856544,37.6389069912411,rep5,0
POM289748,-119.828248824862,37.3051468632075,rep5,301.87
POM289751,-117.245650086887,33.4023723623413,rep5,187.76
POM293455,-117.33857059314,34.1939345349252,rep5,518.45
POM296771,-117.698552308901,34.1584689035516,rep5,698.43
POM305712,-116.789459665411,33.292632221004,rep5,1179.39
POM307904,-119.545812117783,35.4977170379648,rep5,78.24
POM346565,-122.610115361378,38.8574712744563,rep5,614.36
POM347129,-117.459962695905,34.3194821898978,rep5,991.99
POM3534,-117.883649447807,34.0164804923543,rep5,154.88
POM3611,-117.594510316402,34.0699470444823,rep5,298.89
POM46977,-116.780102140146,33.2171071850304,rep5,1246.82
POM47079,-116.87859827337,32.5577244387354,rep5,250.72
POM48180,-116.53351987974,32.9740667858576,rep5,1410.2
POM49021,-117.254245196858,34.214564327097,rep5,1068.72
POM65315,-122.718962288406,37.6744748074788,rep5,0
POM6554,-117.419794967874,34.3459346212692,rep5,1232
POM65806,-121.928900562791,36.3628160457522,rep5,0
POM7063,-117.804026731243,34.0755126338149,rep5,304.92
POM73427,-116.452153779783,33.096336119957,rep5,676.81
POM97174,-118.258667528626,35.1023048436188,rep5,1126.41
POM97180,-116.618832572442,32.9829819472973,rep5,1312.94
POM97226,-116.606059873886,33.0424525548984,rep5,1301.84
RSA0035444,-116.704606873479,33.3671208756411,rep5,1219.84
RSA0037197,-116.402007603738,33.5980287713002,rep5,1076.7
RSA0043192,-118.076761732769,34.3348076984702,rep5,1260.93
RSA0057838,-117.861189795826,34.0547988562299,rep5,274.34
RSA0059611,-116.370814326403,33.7576407828085,rep5,75.89
RSA0060576,-116.701222117901,33.6097063595858,rep5,1484.67
RSA0070947,-118.314133374571,34.1605472434276,rep5,154.79
RSA101759,-118.663649885368,36.0351463420387,rep5,1118.22
RSA113487,-121.463026271594,36.2182622551545,rep5,563.75
RSA114997,-123.70353112482,40.9324844649506,rep5,621.62
RSA120045,-122.063102313581,37.3765298507184,rep5,41.62
RSA12318,-117.246250621775,33.4320168437969,rep5,196.05
RSA124603,-120.279575912003,36.5016932556287,rep5,81.34
RSA12926,-117.505036541626,33.7000574348894,rep5,903.3
RSA15266,-122.028418468161,37.4483621072277,rep5,1.64
RSA156323,-118.040400716978,34.206790872768,rep5,968.56
RSA15640,-120.728409834298,36.6369277827974,rep5,559.2
RSA180273,-117.286509799786,33.5796391393023,rep5,671.39
RSA182182,-117.636815009138,34.2642829235664,rep5,1871.93
RSA191096,-117.835512192149,34.0769768186251,rep5,222.34
RSA191996,-117.184164178535,33.3657185019337,rep5,249.26
RSA191997,-117.285174810305,33.4831076897516,rep5,409.11
RSA195363,-122.4664857831,38.7536343871259,rep5,366.16
RSA222969,-117.50458373854,34.1609250835117,rep5,521.85
RSA225716,-118.06099135123,34.0791839094542,rep5,85.59
RSA226234,-117.836509164318,34.1631661784284,rep5,492.92
RSA233474,-117.643717950222,34.1475486200213,rep5,563.95
RSA247113,-117.993369853709,34.3192305793316,rep5,1540.69
RSA250674,-117.816941079793,34.2944349550679,rep5,1496.75
RSA252917,-117.796982697219,34.5664216770644,rep5,864.27
RSA274234,-117.815921760122,36.0388965175291,rep5,1302.5
RSA276027,-117.690917065097,34.0669055445556,rep5,303.79
RSA29514,-119.544094899303,34.8702406616842,rep5,917.49
RSA29712,-117.667245,34.2604499943841,rep5,2031.61
RSA305715,-118.415866726344,33.4036547326867,rep5,482.69
RSA309677,-117.401023060026,34.3392556938899,rep5,1146.85
RSA3166,-117.737347641693,33.8666320255292,rep5,162.89
RSA31814,-119.211784046539,34.3309822712019,rep5,397.74
RSA329566,-117.132813651562,33.4019557177561,rep5,458.66
RSA333764,-117.129927300528,34.1942403871447,rep5,1476
