specimen_number,mean_PI,mean_buds,mean_flowers,mean_spent,mean_immature,mean_mature,flowers_present,fruit_present
JEPS1878,2.695652174,18,6,2,12,8,y,y
JEPS1879,2.634693877571429,5,5.142857142857143,2.5714285714285716,3.857142857142857,1.8571428571428572,y,y
JEPS1881,NA,NA,NA,NA,NA,NA,y,y
JEPS1885,2.568095238,3.2,3.2,1,2.6,0.8,y,y
JEPS1889,3.2434988175,6,5,4.5,5,7.5,y,y
JEPS1890,1.768253968,2.6666666666666665,1.3333333333333333,0.3333333333333333,0.6666666666666666,0,y,y
JEPS1893,2.3742424243333335,3.6666666666666665,2.3333333333333335,1.3333333333333333,1.3333333333333333,1,y,y
JEPS1906,2.34375,4,3.5,1.5,0,0.5,y,y
JEPS1909,2.388888889,1.5,3,0,1.5,0,y,y
JEPS1911,2.8542673106666667,4,3.6666666666666665,3,5,1.6666666666666667,y,y
JEPS1912,NA,NA,NA,NA,NA,NA,y,y
JEPS1914,1.789115646142857,2.857142857142857,2,0,0.8571428571428571,0,y,y
JEPS1916,2.483766234,6.5,6.5,1,6.5,1,y,y
JEPS1918,1.7395833335000002,5.5,3.75,0.5,1,0,y,y
JEPS21155,NA,NA,NA,NA,NA,NA,y,y
JEPS25353,1.578030303,1.8181818181818181,1.1818181818181819,0.09090909090909091,0.18181818181818182,0,y,y
JEPS2989,1.9880952381666666,1.1666666666666667,1,0.3333333333333333,0.5,0,y,y
JEPS2990,1.75,4,3,0,1,0,y,y
JEPS30298,2.626984127,0.5,2.3333333333333335,0.5,1.5,0,y,y
JEPS3067,1.4791666664999998,2.25,1.375,0,0.125,0,y,y
JEPS3117,3.2205882355,1,3,4,2.5,2,y,y
JEPS3118,1.941176471,9,4,0,4,0,y,y
JEPS3127,2.211069997,15,23,11.5,6.5,2,y,y
JEPS3129,2.3889542484,2.6,2.6,1.6,1.2,0.4,y,y
JEPS3130,2.482142857,1.5,1.5,1,1,0.5,y,y
JEPS3131,1.75,0.5,1,0,0,0,y,n
JEPS3132,2.807228916,13,30,10,20,10,y,y
JEPS3134,NA,NA,NA,NA,NA,NA,y,y
JEPS3135,NA,NA,NA,NA,NA,NA,y,y
JEPS3136,3.08035714275,2.75,3.5,5.75,7.25,2.25,y,y
JEPS35787,2.301587302,23,18,5,14,3,y,y
JEPS3962,3.1448863635,3,3.5,0,4,3,y,y
JEPS45200,1.7575757575,7,4.5,2,0.5,0,y,y
JEPS60186,2.09469697,6.5,3.5,5,2,0,y,y
JEPS76985,2.7916666665000003,4,5,1.5,5,0.5,y,y
JEPS77206,3.6022727275,1,2,1,4,3.5,y,y
JEPS79245,3.68690476175,0.25,1.25,0.25,2.5,1.5,y,y
JEPS81922,2.857699805,5,4.5,3.5,8.5,1.5,y,y
JEPS82016,1.7777777776666666,1.6666666666666667,1.3333333333333333,0.3333333333333333,0,0,y,n
JEPS82021,2.07312271075,3.75,3.25,2.5,1.5,1.25,y,y
JEPS83176,4.083333333,2,1,9,26,22,y,y
JEPS85033,2.537202381,7.5,10.5,2.5,8,2.5,y,y
JEPS94183,2.966666667,6,7,3,10,4,y,y
LOB100072,3.328571429,15,8,8,17,22,y,y
LOB115754,2,8,3,2,3,0,y,y
LOB115763,2.740950226,10.5,7.5,3.5,10.5,4.5,y,y
LOB115764,NA,NA,NA,NA,NA,NA,y,y
LOB115765,2.090909091,3,2,2.6666666666666665,0.6666666666666666,0,y,y
OBI106017,2.869565217,5,6,2,7,3,y,y
OBI106019,2.726190476333333,1.6666666666666667,2,1,2.3333333333333335,0.3333333333333333,y,y
OBI106020,2.90416666675,0.75,2,0.5,1.75,0.75,y,y
OBI106022,1.54583333325,1.75,2,0,0,0,y,n
OBI106023,3.611111111,2,10,2,8,14,y,y
OBI106024,NA,NA,NA,NA,NA,NA,y,y
OBI106025,2.763888889,2.5,5.5,5,2.5,2,y,y
OBI106026,3.6868055555,0.5,1.75,0.5,2.75,2.75,y,y
OBI106028,1.636363636,6,4,0,1,0,y,y
OBI106031,2.56043956,21,33,9,21,7,y,y
OBI106032,3,0,2,1,0,1,y,y
OBI106033,2.575,10,15,1,10,4,y,y
OBI106034,2.55,4,8,3,3,2,y,y
OBI106035,2.88372093,5,18,3,11,6,y,y
OBI106036,2.7897435895,3.5,7.5,2,4.5,3,y,y
OBI106037,2.177777778,2.5,5.5,0,0.5,1,y,y
OBI106038,2.774193548,4,13,4,6,4,y,y
OBI106039,2.5027777776666666,0.5,2.5,0.5,0.8333333333333334,0.16666666666666666,y,y
OBI106041,2.8230218856666665,1.1666666666666667,1.5,1.6666666666666667,1.6666666666666667,0.5,y,y
OBI106042,2.0089285715000003,2.5,3.5,0.5,1,0,y,y
OBI106043,2.4375,4,2.5,4.5,1.5,1.5,y,y
OBI106044,2.111111111,0.3333333333333333,1.3333333333333333,0.6666666666666666,0,0,y,n
