specimen_number,long_n5k,lat_n5k,replicate,elev_m_n
SD00010471,-116.679430153764,33.3622460022555,rep1,1255.27
SD00010472,-116.878369530365,33.2895687689315,rep1,855.15
SD00010486,-119.542995626671,37.2910347710407,rep1,1096.69
SD00010488,-117.852523672556,34.3650218621733,rep1,2037.13
SD00010489,-117.860927392087,33.9768110273096,rep1,307.35
SD00010492,-118.102092742811,34.5233745607183,rep1,920.07
SD00010495,-118.746849355467,35.5233350312715,rep1,926.57
SD00010502,-118.232324399311,34.2613963996805,rep1,1335.83
SD00010507,-120.46431789897,34.8232423247266,rep1,189.23
SD00010530,-116.436046486392,32.7830439240097,rep1,1515.49
SD00010547,-116.069014328046,32.6463560718098,rep1,946.94
SD00010549,-116.578527104475,32.7228029996886,rep1,1142.75
SD00010551,-116.594058504996,32.9806672258411,rep1,1653.52
SD00010552,-116.443622935604,32.8986580672719,rep1,1619.56
SD00010554,-117.09051862786,32.518580017838,rep1,-1000000
SD00010556,-116.638517355531,32.6258737700333,rep1,878.05
SD00010557,-116.788810029475,32.7571855298247,rep1,502.63
SD00010558,-116.655824210516,32.9399978185071,rep1,999.76
SD00010560,-117.087672433142,33.2882528585744,rep1,214.21
SD00010563,-116.432310698713,32.8966715609157,rep1,1809.19
SD00010564,-116.647096159437,32.9022842949747,rep1,875.86
SD00010565,-116.577089961677,32.8959598246903,rep1,1238.7
SD00010566,-116.621205917244,32.7889517974922,rep1,754.57
SD00010567,-117.357498005391,33.4368373295975,rep1,519.29
SD00010569,-116.603543928815,32.9598157733313,rep1,1705.69
SD00010570,-116.64026075707,33.0287588501188,rep1,1072.63
SD00010571,-116.791427080063,33.1351395787877,rep1,609.54
SD00010572,-116.861347366983,32.9605741034787,rep1,378.51
SD00010573,-116.642653123673,33.0947721474954,rep1,1104.11
SD00010574,-116.792968350812,33.0856025393018,rep1,693.33
SD00010575,-116.869899841256,33.2804234312878,rep1,805.01
SD00010578,-116.754869904821,32.7221041191623,rep1,776.11
SD00010587,-117.066472640322,33.3177346625352,rep1,420.46
SD00010601,-116.532739849862,33.0633301102559,rep1,992.89
SD00010604,-116.580335498204,32.9697323372078,rep1,1443.17
SD00010605,-116.60952222695,32.9873599108708,rep1,1544.91
SD00010606,-116.509190390847,32.9319209203331,rep1,1459.86
SD00010608,-116.894843799497,33.3229216321431,rep1,1604.29
SD00010609,-117.040301788429,33.3668632683768,rep1,209.13
SD00010610,-117.213985926699,32.7450547951274,rep1,20.11
SD00010612,-116.223309839266,32.6546116241444,rep1,1147.53
SD00010614,-116.593403146284,33.2891341183193,rep1,1376.85
SD00010616,-117.242712591351,32.8171676073306,rep1,119.09
SD00010617,-116.925096044734,33.4068570022429,rep1,1048.24
SD00010618,-117.379832288422,33.4966280512924,rep1,812.6
SD00010663,-118.485559395872,34.3534695604856,rep1,599.04
SDSU06100,-119.662356250438,37.5628447848529,rep1,1806.15
SDSU06105,-116.389953238456,32.8560412461511,rep1,1733.33
SDSU06111,-116.583703395599,33.0328426652357,rep1,1354.42
SDSU06135,-116.404263022514,32.8702059266871,rep1,1381.7
SDSU06137,-117.883508063843,34.2845240274435,rep1,812.01
SDSU06143,-123.370695819735,39.2700585634653,rep1,568.21
SDSU06149,-119.659087700923,37.5509243976501,rep1,1366.84
SDSU15375,-117.25357914637,33.3080541820177,rep1,195.26
SEINET3156484,-118.517236122387,34.3848614237936,rep1,394.76
SEINET5521018,-120.773651925126,39.2253923829654,rep1,1382.53
SEINET5521020,-121.272000345268,38.6738637598011,rep1,53.42
SEINET5521026,-121.117601766648,38.9812500521892,rep1,418.31
SEINET5521034,-121.91361946905,37.8610473642313,rep1,530.88
SEINET5730455,-122.941459712983,39.5895175272305,rep1,1817.19
SEINET6971729,-117.555589543906,33.6597364344918,rep1,519.16
SEINET6971731,-117.012267084769,32.5420429213842,rep1,-1000000
SEINET6971732,-118.808236670494,36.1472908733412,rep1,416.05
SEINET7040096,-120.708964410289,35.912836331685,rep1,439.2
SFV112651,-119.879534385018,35.1891227916993,rep1,617.02
SFV112652,-122.324785062664,38.6303425209667,rep1,252.83
SFV112653,-122.410292703093,38.6121850286382,rep1,195.81
SFV112656,-121.237619863075,38.5059378811436,rep1,37.22
SFV112658,-118.300917783863,34.3526267752273,rep1,1196.8
SFV112659,-118.177455765976,34.2840393213,rep1,1061.56
SFV112660,-118.466043398838,34.3525061501558,rep1,943.05
SFV112662,-119.384109532128,34.9258203590241,rep1,1158.53
SFV112663,-119.387631671205,34.8908328398832,rep1,1322.34
SFV112664,-122.907663310961,38.9608525057714,rep1,475.55
SFV112665,-118.530028488914,34.2953545034234,rep1,442.39
SFV112666,-118.199383900377,34.2603391694644,rep1,1003.86
SFV112667,-118.596295366882,34.0836784950238,rep1,271.23
SFV112668,-118.02,34.2735767424338,rep1,1516.66
SFV112669,-118.368059465812,34.4419853201262,rep1,567.89
SFV112670,-118.304489231653,34.2188584955051,rep1,687.2
SFV112671,-118.562767420237,34.3423893082256,rep1,654.32
SFV112672,-118.327967669404,34.2244751528299,rep1,577.37
SFV112673,-118.20909500822,34.1973370034799,rep1,439.35
SFV112674,-123.438548047788,39.3739859304984,rep1,636.95
SFV112675,-118.603422777752,34.0857242893863,rep1,296.3
SFV112677,-119.41198285326,35.9139934651248,rep1,63.94
SFV112678,-118.143427740774,34.3085139427687,rep1,863.57
SFV112679,-118.271579878734,34.194884992393,rep1,549.65
SJSU8553,-122.940042906657,38.129326598078,rep1,9.84
SJSU960,-122.164168179138,37.2835153647155,rep1,674.6
UC1005677,-123.727899390721,40.877315709273,rep1,1454.52
UC1019605,-116.528114693222,33.1116632118336,rep1,747.34
UC1019606,-116.835964341403,32.8754447906918,rep1,446.18
UC1019607,-116.543768922315,32.6716730042301,rep1,1112.36
UC1019608,-116.833680329508,32.6841262035768,rep1,284.47
UC1021938,-121.107828179615,38.7634609020962,rep1,183.77
UC1039812,-119.511324478772,37.1793407286119,rep1,629.79
UC1069166,-120.723969009405,37.9268178679679,rep1,258.91
UC1069167,-121.86572830231,39.2044123152758,rep1,133.89
UC1069168,-119.683588572744,35.2602681413918,rep1,738.79
UC1069169,-121.456045293107,37.2156342932525,rep1,531.15
UC1069170,-117.330087072911,34.4335862323912,rep1,999.02
UC1069171,-118.891583881173,34.9463103494441,rep1,380.79
UC1069173,-118.590601853697,34.7140020059743,rep1,1313.2
UC1069174,-119.409965977237,34.7584366574642,rep1,1102.05
UC1069176,-120.196308454658,35.9803039841869,rep1,312.07
UC1069178,-120.483797712011,37.8205035514191,rep1,351.22
UC1069179,-120.3792,37.7252542940289,rep1,241.15
UC1069180,-120.287117980935,37.948169322393,rep1,870.65
UC1069181,-119.671840066032,37.5551666397117,rep1,1574.5
UC1069182,-120.051870651472,37.3574102698177,rep1,363.51
UC1069183,-119.712724174674,34.9027842649287,rep1,785.81
UC1069184,-120.286189,34.7259357792059,rep1,372.53
UC1069186,-120.338791681364,35.3610657196348,rep1,687.28
UC1069188,-120.696954401291,35.1677893345163,rep1,0
UC1069189,-117.247684581633,34.310067367001,rep1,1338.98
UC1069190,-120.073228494101,37.4095757105387,rep1,384.25
UC1069193,-121.888652248627,37.8116904107711,rep1,294.3
UC1069194,-122.101524032463,37.738849072086,rep1,206.22
UC1069195,-120.800919876929,35.7939414803103,rep1,230.64
UC1069196,-121.520303307016,37.0783810807776,rep1,237.41
UC1069197,-123.010879072604,37.999130921164,rep1,107.54
UC1069198,-122.953876927996,38.1975073826867,rep1,49
UC1069199,-118.497946203866,34.6818304551122,rep1,1391.39
UC1069200,-121.710155359724,39.2030801071902,rep1,20.1
UC107228,-122.973605543212,38.3458569059812,rep1,34.29
UC1103814,-123.878514813277,40.9054138718508,rep1,665.06
UC1103815,-123.985002835599,40.7180606003733,rep1,605.69
UC1116246,-123.669702630358,40.0895881747779,rep1,828.91
UC1137832,-118.855059455672,35.2583878604353,rep1,147.85
UC1190350,-120.293617085721,37.8934278829442,rep1,616.72
UC1222905,-123.60626011499,40.4777603716652,rep1,861.76
UC1237966,-122.217938541613,38.2177046061919,rep1,110.15
UC1237990,-116.773216673069,33.8557722797452,rep1,1247.17
UC1239741,-123.619792642561,40.9796003636436,rep1,334.18
UC1239751,-123.749677315907,40.0989512795728,rep1,655.19
UC1239754,-124.113843433174,41.0431803914987,rep1,105.42
UC1242705,-117.467159281573,33.7676993571477,rep1,305.63
UC1245395,-123.226897398061,40.1686620402805,rep1,895.5
UC126807,-117.105171803784,34.0493716220464,rep1,623.01
UC126911,-117.433991097049,34.3098882447245,rep1,1298.84
UC1282735,-122.455914720264,38.7036884463792,rep1,265.94
UC1301146,-122.439658304968,37.6835602597883,rep1,181.16
UC131445,-121.4051498902,37.7083278102155,rep1,33.05
UC131451,-117.354876248077,33.3358069339084,rep1,77.01
UC131456,-122.258765003916,37.2968953704926,rep1,153.45
UC131658,-122.061578839066,37.204348420549,rep1,686.23
UC1375274,-117.494770905471,34.1976219335671,rep1,1237.39
UC1400331,-117.630147794071,34.1843521747385,rep1,915.01
UC1426018,-117.72116803301,34.1425318026937,rep1,642.19
UC144182,-118.505225902581,35.1918185751982,rep1,1039.21
UC146182,-124.108464677771,40.5514566664818,rep1,40.28
UC146183,-123.994609408203,40.7586104927817,rep1,633.53
